機器番号,型式,製造番号,カテゴリ
DC-8786,KC-170P,DC-8786,検査機器
DC-8788,SAT-2200N,2311210065,検査機器
DC-8789,ZS-610P,13590,モニタ
DC-8791,AED-2151,4746,AED
DC-8792,AED-3100NX,319379,AED
DC-8793,OLG-3800,593,モニタ
DC-8794,TG-980P2,158,モニタ
DC-8795,TG-980P2,159,モニタ
DC-8796,TG-980P2,160,モニタ
DC-8797,TG-980P2,162,モニタ
DC-8798,TG-980P2,163,モニタ
DC-8811,ZS-620P,6904,モニタ
DC-8812,ZS-620P,6905,モニタ
DC-8813,ZS-620P,6906,モニタ
DC-8814,ZS-620P,6907,モニタ
DC-8815,ZS-620P,6908,モニタ
DC-8816,ZS-620P,6909,モニタ
DC-8817,ZS-620P,6910,モニタ
DC-9056,CHM-4100,4666,検体
DC-9057,CHM-4100,4667,検体
DC-9121,ECG-2450,4476,検査機器
DC-9122,ECG-2450,4478,検査機器
DC-9125,NKV-330,1618,人工呼吸器
DC-9126,NKV-330,1619,人工呼吸器
DC-9129,TEC-2603,2788,治療器救急関連機器
DC-9130,AE-120A,575,治療器救急関連機器
DC-9132,GZ-140P,451,モニタ
DC-9242,AF-201P,3363,モニタ
DC-9242,VA-201R,574,モニタ
DC-9243,AF-201P,3345,モニタ
DC-9243,VA-201R,575,モニタ
DC-9244,GZ-130P,1522,モニタ
DC-9245,GZ-130P,1523,モニタ
DC-9246,GZ-130P,1524,モニタ
DC-9247,GZ-130P,1525,モニタ
DC-9248,OLG-3800,602,モニタ
DC-9249,OLV-4201,2431,モニタ
DC-9250,OLV-4201,2432,モニタ
DC-9251,TRN-3100,7949,AED
DC-9252,TRN-3100,7950,AED
DC-9253,TRN-3100,7951,AED
DC-9254,TRN-3100,7909,AED
DC-9255,TRN-3100,7910,AED
DC-9256,TRN-3100,7911,AED
DC-9257,ZS-600P,13924,モニタ
DC-9258,ZS-600P,13925,モニタ
DC-9259,ZS-600P,13903,モニタ
0,K939B,909242,モニタ
0,K930,212026,モニタ
JC-0007,Blackmagic Desing,11874825,その他
0,ARV057,BT2311,検査機器
0,ARV01,0,検査機器
DC-8830,ZT-210P,6620,モニタ
DC-9415,TT101,DC-9415,WJ救急麻酔
DC-9416,TT101,DC-9416,WJ救急麻酔
DC-9417,TT101,DC-9417,WJ救急麻酔
DC-9418,TT101,DC-9418,WJ救急麻酔
DC-9419,TT101,DC-9419,WJ救急麻酔
DC-9420,TT101,DC-9420,WJ救急麻酔
DC-9421,TT101,DC-9421,WJ救急麻酔
DC-9422,TT101,DC-9422,WJ救急麻酔
DC-8339,ECS-3D,436,検査機器
DC-9123,ECG-2550-01,20407,検査機器
DC-9124,ECG-2550-01,20409,検査機器
DC-9131,BSM-3562-Q91,6996,モニタ
0,91-0127-04 (04582350611656),L/N  42/2023,その他
0,98-0061-25 (04582350611670),L/N  53/2023,その他
DC-9469,MR850,2.31E+11,0
DC-9470,MR850,2.31E+11,0
0,JC-933P,LOT 405913334,モニタ
DC-8804,WEC-7301,21140,モニタ
DC-9371,MER3700PCS,13003156,WJ循環器CRM
DC-7729,YC-320D,DC-7729,検査機器
DC-7391,YC-330D,DC-7391/②,検査機器
DC-8819,ZS-640P,6849,モニタ
DC-8820,ZS-640P,6850,モニタ
DC-8821,ZS-640P,6851,モニタ
DC-8822,ZS-640P,6852,モニタ
DC-8823,ZS-640P,6853,モニタ
DC-8824,ZS-640P,6854,モニタ
DC-8825,ZS-640P,6855,モニタ
DC-8826,ZS-640P,6856,モニタ
DC-8827,ZS-640P,6857,モニタ
DC-9486,MEB-2300(DC-230B-NEO),10055,検査機器
0,OTX-TUP-CO35J,1902250037,検査機器
0,AE-920P,66,検査機器
DC-9475,HAMILTON-C6,7428,人工呼吸器
DC-9565,TEC-1031-QI,92,治療器救急関連機器
DC-9566,TEC-1031-QI,93,治療器救急関連機器
DC-9567,TEC-1031-QI,94,治療器救急関連機器
DC-9568,TEC-1031-QI,95,治療器救急関連機器
DC-9133,MEK-7300,1609,検体
DC-9566,KD-101V,DC-9566,治療器救急関連機器
DC-9567,KD-101V,DC-9567,治療器救急関連機器
DC-8805,ZS-611P,2847,モニタ
DC-8806,ZS-611P,2848,モニタ
DC-9649,RAC-5103,5982,検査機器
DC-9650,RAC-5103,5983,検査機器
DC-9651,RAC-5103,5984,検査機器
DC-9652,RAC-5203,1388,検査機器
DC-9676,BSM-5762,61,モニタ
